product_name;resin;let_down_ratio;expired_age (in month)
TET 1JA088 WHT;PE;3/100;12
FEM 0CA041 BLK-PTI;PE;3/100;12
PPM 9JA181 GRY-PK81;PP;2/100;12
PPM 4JA283 PNK;PP;3/100;12
PPM 7JA277 BLU;PP;3/100;12
PPM 9JA050 L GRY-BI961-kai;PP;3/100;12
TBP 4JA111 PNK-A;ABS;100%;12
TBP 4JA144 PNK-B;ABS;100%;12
TSM 4JA313 PNK;HIPS;3/100;12
TBP 7JA124 BLU;ABS;100%;12
TSM 1JA209 WHT;HIPS;4/100;12
TSM 9JA160 GRY;HIPS;3/100;12
PEM 3JA145 ORG;PET;2/100;12
TBP 4JA067 PNK-A;ABS;100%;12
TBP 7JA127 BLU;ABS;100%;12
TBP 8JA028 VLT;ABS;100%;12
TBM 0JA363 BLK;ABS;3/100;12
PPM 9JA224 GRY-4.5;PP BLOCK;3/100;12
TET 1JA217 WHT;PE;3/100;12
TSM 0JA345 BLK;HIPS;3/100;12
CLEANING MT;PE;100%;12
TET 1JA134 WHT;HDPE;4/100;12
TET 1JA239 E WHT;HDPE;4/100;12
TET 1JA309 WHT;HDPE;3/100;12
TET 1JA135 E PAL;HDPE;4/100;12
PEM 1JA335 PAL;PET;5/100;12
PEM 1JA329 WHT;PET;2/100;12
TET 1JA016 NAT;LDPE;4/100;12
TET 4JA381 S P-PNK-A;HDPE;3/100;12
TET 4JA414 PNK-B;HDPE;3/100;12
PPM 4JA435 PNK;PP;3/100;12
PPM 2JA181 YEL;HDPE;3/100;12
PPM 2JA211 YEL;PP;3/100;12
TET 2JA404 YEL-A-FID24;HDPE;3/100;12
PPM 5YC273 GRN-PTI;PP;3/100;12
TET 5JA267 S P-GRN;HDPE;3/100;12
TET 5JA366 S P-GRN-A;HDPE;3/100;12
TET 5JA423 GRN-A;HDPE;3/100;12
TET 7JA525 BLU-C-FID24;HDPE;3/100;12
TET 7JA528 BLU-A-FIS18;HDPE;3/100;12
TET 8JA073 S P-VLT;HDPE;3/100;12
TET 8JA150 VLT-A-FID24;HDPE;3/100;12
TBM 1JA167 WHT;ABS;1 /100;12
PPM 1JA166 EZ WHT;PP;5/100;12
PPM 1JA172 EZ WHT;PP;5/100;12
PEM 1KT431 Z-WHT-PTI;PET;5/100;12
PPM 1YE451 Z-WHT-PTI;PP;5/100;12
TET 2JA210 S GLD-A;HDPE;3/100;12
TSM 1JA387 WHT-Y-H036;HIPS;5/95;12
PPM-HB 3CA021 ORG-3255;PP HOMO;4/100;12
TSM 7JA397 ENB9;HIPS;5/100;12
TSM-HB 0CA073 EBCK-495F-PTI;HIPS;3/100;12
FEM 0CA041 BLK;PP;2/100;12
TSM 0JA216 BLK;HIPS;5/100;12
PPM-HB 9CA079 GRY-1735;PP;3/100;12
PPM-HB 9CA089 GRY-1925;HIPS;3/100;12
TBM-HB 9CA065 GRY-1735;PP;3/100;12
TBM-HB 9CA080 GRY-1986;ABS;3/100;12
TSM-HB 0CA099 EBCK-PTI;HIPS;5/100;12
PPM 0JA162 BLK BNY-202B;PP;2/100;12
PPM 0JA127 BLK NH-900L;PP;2/100;12
PPM 0JA128 BLK NH-167L;PP;2/100;12
PPM 9JA175 GRY-598;PP;3/100;12
TSM 7JA311 BLU;HIPS;3/100;12
TBP 8JA033 VLT-A;ABS;100%;12
PEM 6JA204 BRN;PET;2/100;12
PPM 6JA214 BRN;PP;3/100;12
TBM 0JA107 LU BLK 5PK;ABS;8/100;12
TNM 0JA106 L BLK 5PK;PP;3/100;12
TNM 0JA175 BLK NH-900L;NYLON;3/100;12
TNM 0JA214 BLK-202B;PP;3/100;12
TBM 0JA200 Z BLK-N1-A;ABS;3/100;12
TBP 9JA366 GRY-B-445;ABS;100%;12
PPM 7JA371 BLU;PP;3/100;12
TET 1JA345 U NAT;HDPE;3/100;12
TET 5JA245 GRN-A;LDPE;3/100;12
TET 5JA259 GRN-A;LDPE;5/100;12
TET 5JA431 GRN;LDPE;3/100;12
TET 1TA308 EZ WHT-PTI;LDPE;5/100;12
TET 1JA265 WHT;LDPE;2/100;12
TET 0JA020 BLK;LDPE;1/100;12
PPM 2JA277 GLD;PP;3/100;12
TET 1TA081 EZ PAL-PTI;LDPE;4/100;12
TET 9JA353 GRY-A;LDPE;3/100;12
TET 9JA362 GRY;LDPE;3/100;12
TSM-HB 0JA119 EBCK;HIPS 438 ;1/100;12
TBM-HB 0JA230 EBCK;ABS TOYOLAC;1/100;12
TBM-HB 0JA360 EBCK;ABS TOYOLAC;1/100;12
TPP 4JA007 RED-RJ570Z;PP;100%;12
TBP 5JA278 GRN;ABS;100%;12
TPP 7JA003 BLU-RJ570Z;PP;100%;12
PPM 7TA162 E-BLU-PTI;PP;3/100;12
PPM 9JA058 GRY;PP;2/100;12
PPM 4JA466 RED;PP;2/100;12
TET 2JA351 YEL;PP;2/100;12
PPM 2JA392 YEL;PP;2/100;12
PPM 5JA450 GRN;PP;2/100;12
PPM 8JA144 VLT;PP HOMO;2/100;12
PEM 1JA350 WHT;PET;2/100;12
TET 9JA375 SVR;HDPE;2/100;12
PPM 1TA431 NAT-PTI;PP;0.5/100;12
TET 1JA391 NAT-B-UV;HDPE;2/100;12
PPM 9KC495 GRY-PTI;PP;0.5/100;12
PPM 1TA437 NAT-PTI;PP;0.5/100;12
PPM 1JA364 NAT;PP HOMO;3/100;12
TET 1JA417 NAT;LDPE;2/100;12
