product_name;property_name;target_value;tolerance;operator;unit
TET 1JA088 WHT;Color Delta E;1;0;<;
;MFR;5;2;±;g/10min
;Delta P;10;10;≤;Mpa
;Ash Content;70;2;±;%
;Moisture;2000;2000;<;ppm
;Density;2,000;0,1;±;g/cm³
;Contamination;5;0;≤;point
;Macaroni;2;0;≤;pcs
;Pellet Length;3;0,5;±;mm
;Pellet Diameter;3;0,5;±;mm
;Pellet Visual;Same as Std;;;
;Color ;Same as Std;;;
;Dispersibility;Same as Std;;;
;;;;;
FEM 0CA041 BLK-PTI;Color Delta E;1;0;<;
;Tint Delta E;1;0;<;
;MFR;11;3;±;g/10min
;Density;1,15;0,02;±;g/cm³
;Moisture;2000;0;<;ppm
;Carbon Content;40;2;±;%
;Dispersion;50;0;<;µm
;Contamination;5;0;≤;point
;Macaroni;2;0;≤;pcs
;Pellet Length;3;0,5;±;mm
;Pellet Diameter;3;0,5;±;mm
;Pellet Visual;Same as Std;0;;visual
;Color ;Same as Std;0;;visual
;Dispersibility;Same as Std;;;
;;;;;
PPM-HB 3CA021 ORG-3255;Color Delta E;1;0;<;
;Contamination;5;0;≤;point
;Macaroni;2;0;≤;pcs
;Pellet Length;3;0,5;±;mm
;Pellet Diameter;3;0,5;±;mm
;Pellet Visual;Same as Std;0;;visual
;Color ;Same as Std;0;;visual
;Dispersibility;Same as Std;;;
;;;;;
TSM 7JA397 ENB9;Color Delta E;1;0;<;
;Contamination;5;0;≤;point
;Macaroni;2;0;≤;pcs
;Pellet Length;3;0,5;±;mm
;Pellet Diameter;3;0,5;±;mm
;Pellet Visual;Same as Std;0;;visual
;Color ;Same as Std;0;;visual
;Dispersibility;Same as Std;;;
;;;;;
TSM-HB 0CA073 EBCK-495F-PTI;Color Delta E;1;0;<;
;Contamination;5;0;≤;point
;Macaroni;2;0;≤;pcs
;Pellet Length;3;0,5;±;mm
;Pellet Diameter;3;0,5;±;mm
;Pellet Visual;Same as Std;0;;visual
;Color ;Same as Std;0;;visual
;Dispersibility;Same as Std;;;
;;;;;
TSM 0JA216 BLK;Color Delta E;1;0;<;
;Contamination;5;0;≤;point
;Macaroni;2;0;≤;pcs
;Pellet Length;3;0,5;±;mm
;Pellet Diameter;3;0,5;±;mm
;Pellet Visual;Same as Std;0;;visual
;Color ;Same as Std;0;;visual
;Dispersibility;Same as Std;;;
;;;;;
PPM-HB 9CA079 GRY-1735;Color Delta E;1;0;<;
;Contamination;5;0;≤;point
;Macaroni;2;0;≤;pcs
;Pellet Length;3;0,5;±;mm
;Pellet Diameter;3;0,5;±;mm
;Pellet Visual;Same as Std;0;;visual
